Price,Year,Mileage,State,Make
17995,2011,116126, FL,Ford
14710,2016,39483, FL,Hyundai
20355,2016,40359, IN,Subaru
50695,2015,63010, SD,GMC
16875,2017,18219, PA,Chevrolet
8139,2006,131425, UT,Nissan
17477,2017,24290, CA,Ford
16500,2016,38233, MN,Jeep
6087,2006,83057, FL,Nissan
16787,2014,32743, CA,Toyota
18997,2014,34134, NY,Honda
28341,2013,46943, GA,Jeep
14988,2014,22064, MA,Toyota
8900,2002,123200, VA,Toyota
27900,2014,47923, MA,Volvo
9983,2013,89253, FL,Hyundai
8750,2009,67716, VA,Mercury
11695,2013,69134, GA,Nissan
25900,2016,32786, TX,Mazda
20897,2016,50591, AL,Chevrolet
17990,2015,35728, IN,Jeep
23878,2014,44604, TX,Buick
54995,2016,51526, TX,Lexus
15374,2012,69786, FL,Honda
27999,2012,74844, WA,Ram
15902,2017,13913, NE,Toyota
26810,2015,19203, WA,Kia
26991,2016,6028, FL,Chevrolet
25995,2013,56929, TX,Chevrolet
17931,2013,54232, NC,Ford
11200,2014,75342, TX,Kia
18997,2013,56041, NJ,Acura
11500,2013,47310, NY,Dodge
10988,2014,31182, CA,Ford
30500,2014,22948, MO,Chevrolet
18550,2014,37778, VA,Ford
12500,2015,55525, CA,Toyota
23995,2015,78248, SD,Toyota
18152,2016,2112, NJ,Nissan
8500,2009,104596, VA,Honda
32184,2016,14907, GA,Chevrolet
9755,2012,106754, AR,Hyundai
14695,2014,43699, TN,Dodge
28990,2014,35484, NJ,Cadillac
12989,2016,44102, FL,Ford
19964,2017,2814, VA,Nissan
10912,2009,102960, IL,Ford
18988,2013,85576, CA,Toyota
14314,2015,57733, NE,Chevrolet
22999,2016,34436, FL,Jeep
7690,2006,132446, CA,Honda
24591,2014,30419, FL,Ram
12995,2010,102602, VA,Volvo
13900,2011,82679, NY,Cadillac
17995,2016,28129, TX,Dodge
11300,2014,29169, VA,Nissan
32990,2016,11737, TX,Chevrolet
26989,2013,52642, IL,Lexus
22995,2014,1625, IN,Chevrolet
18000,2016,16968, CO,Kia
17995,2011,55246, IL,Cadillac
16895,2015,37427, AL,Honda
19900,2013,122497, TX,Toyota
20993,2010,90677, CA,Subaru
17995,2017,15758, TX,Chevrolet
15250,2007,165379, AL,Chevrolet
39990,2016,50552, NC,Chevrolet
12888,2006,117866, VA,Toyota
53968,2015,44994, WA,Ford
9900,2013,66875, MD,Mazda
